기준 년 코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2021,1,A,골목상권,2110001,이북5도청사,4054707,8,2580948514,649751401,320015034,187832611,334420012,442214143,106952810,73437612,356342314,109982577
2021,1,A,골목상권,2110002,독립문역 1번,5115397,9,3326782762,814281980,398377866,234160881,414881679,585104377,115923075,93687213,527679183,142686508
2021,1,A,골목상권,2110003,세검정초등학교,3778112,8,5091729828,1275658271,632391899,374324137,649051941,866738875,211823160,147126501,717360485,217254559
2021,1,A,골목상권,2110004,대신고등학교,4577706,8,6122881668,1664003676,725121797,433725305,812342374,976117182,203981245,185350393,863748316,258491380
2021,1,A,골목상권,2110005,세검정,3595319,7,4086655241,1031856576,507256457,303778035,520952902,688253614,171956185,119938696,569997496,172665280
2021,1,A,골목상권,2110006,부암동주민센터,4107434,8,1940079660,491926934,239390891,143535126,254076343,330198770,80828910,56091008,262605057,81426621
2021,1,A,골목상권,2110007,사직공원(한국사회과학도서관),4645769,8,6470059235,1698107286,777840948,476824359,842716727,1067694492,232835515,195464196,905511506,273064206
2021,1,A,골목상권,2110008,배화여자대학교(박노수미술관),3969727,8,6224813584,1562886178,750027657,457164586,786043717,1046036453,238652465,182664619,943988068,257349841
2021,1,A,골목상권,2110009,자하문터널,3961913,8,2561407792,650538177,314626483,188497783,331895713,431164413,104373627,74485161,358804733,107021702
2021,1,A,골목상권,2110010,평창동서측,4444389,8,5714547529,1387626970,715795016,430585179,729437459,1017326331,245896411,161289202,779665832,246925129
2021,1,A,골목상권,2110011,청운초등학교,4900440,9,1108089226,269053880,135168215,80808915,138376366,191978815,43819085,31304570,170906246,46673134
2021,1,A,골목상권,2110012,성곡미술관,4624284,8,5214372745,1265988161,642262960,413872215,645078961,903382879,221749785,153892433,749851149,218294202
2021,1,A,골목상권,2110013,체부동홍종문가옥,3514629,7,2568276006,685064024,305669030,189548356,340816579,411199408,95361548,77990044,357883481,104743536
2021,1,A,골목상권,2110014,경복고등학교,4100974,8,1969736582,479930572,238888198,141537675,240951589,333249120,77311288,56268824,319868849,81730467
2021,1,A,골목상권,2110015,청와대사랑채,3829511,8,2111294979,532302165,254083595,152157081,265565425,347037810,81560458,61699754,330507264,86381427
2021,1,A,골목상권,2110016,평창동동측,4751731,8,4364605700,1081910992,546001563,328616917,573690046,777742084,182812070,123770073,559013892,191048063
2021,1,A,골목상권,2110017,정독도서관,3733273,7,2509251911,693887883,300839324,188604672,352433244,400574871,95174462,76510265,297928867,103298323
2021,1,A,골목상권,2110018,중앙고등학교,3471617,7,3172142948,852933802,381387516,232828606,430437349,513297200,117053256,95957002,415758858,132489359
2021,1,A,골목상권,2110019,창덕궁,2780488,6,2581465375,724227111,323720194,211005817,364381059,410507725,122569526,81441880,235800086,107811977
2021,1,A,골목상권,2110020,서울국제고등학교,3031599,7,6426079506,1602532797,829988909,458326679,796041387,919740087,239423030,226293231,1049115488,304617898
2021,1,A,골목상권,2110021,성균관대학교,3552727,7,4274323137,1022006702,571109677,298225252,511187996,590064932,157527410,158489221,749194763,216517184
2021,1,A,골목상권,2110022,경신고등학교,3468991,7,6801827746,1677540522,863609825,504214281,820301939,1079405873,262757111,222419334,1061406361,310172500
2021,1,A,골목상권,2110023,서울대병원,3329809,7,1218624917,326224874,156085506,100507996,151287708,182538503,44779326,45164585,153813441,58222978
2021,1,A,골목상권,2110024,혜회동주민센터,3655797,7,4956229631,1228039955,631655169,377170172,592639122,798709769,193314781,163321842,743851864,227526957
2021,1,A,골목상권,2110025,충신시장옆,2694451,6,2417880447,723090495,288220459,185096565,341024521,356326465,81588116,80884848,258160785,103488193
2021,1,A,골목상권,2110026,종로5가역 4번,2409341,5,1279480368,384953823,149819310,92958225,188300820,188770501,42519168,40817686,138250684,53090151
2021,1,A,골목상권,2110027,혜화역 1번,2826086,6,3796955024,1041214898,467632374,302108960,494035833,601893296,141924116,126644182,454132084,167369281
2021,1,A,골목상권,2110028,이화달팽이길,2466866,6,6702328742,1944402461,807492460,501553112,934904610,1024443009,239620170,217594134,746441573,285877213
2021,1,A,골목상권,2110029,동대문역 1번,2493583,6,10618476817,3107989164,1264723090,777623415,1510029572,1606057557,378602936,337279236,1194219549,441952298
2021,1,A,골목상권,2110030,동대문역 3번,2461475,6,4619850101,1302059698,562383819,349270511,641449729,721956604,180422870,145428641,520787230,196090999
2021,1,A,골목상권,2110031,창신역 1번,2986181,7,4558031299,1293464368,538171739,313284000,625617008,707015706,153988017,137996266,599037132,189457063
2021,1,A,골목상권,2110032,수족관거리,2233050,5,2438008337,594690222,315343142,200137499,305277433,397085148,124006643,76494947,320277005,104696298
2021,1,A,골목상권,2110033,창신역 4번,2582853,6,6763906663,1883702816,808082721,497784016,922687490,1069967012,247163735,208127512,844706823,281684538
2021,1,A,골목상권,2110034,창신1동주민센터,3363402,7,4322226863,1053021685,546602759,345234109,535206820,734000927,201457677,132200759,589541928,184960199
2021,1,A,골목상권,2110035,동묘앞역 2번,2537277,6,9333726989,2403783567,1157267166,724931205,1202710941,1499234919,382937038,293820117,1265548103,403493933
2021,1,A,골목상권,2110036,동묘앞역 3번,3286586,7,6294241127,1542659233,782248270,497760369,775285405,1035492218,268431210,197527393,923550640,271286389
2021,1,A,골목상권,2110037,신설동역 12번,2474954,6,6129175770,1638166842,747232672,464181360,805183790,1010662367,228865793,190673710,780260537,263948699
2021,1,A,골목상권,2110038,경향신문사,5304796,9,206292886,49272223,27739561,16565975,24820166,36348848,12129783,6042386,24756440,8617504
2021,1,A,골목상권,2110039,회현역 1번,4609565,8,3136463353,785287302,412320852,257808845,407877000,569184546,161881007,93704053,309619782,138779966
2021,1,A,골목상권,2110040,중구회현체육센터(정화예술대남산캠퍼스),4378353,8,3953669043,985633870,519234853,325399565,511337130,716274428,206373824,117932330,398341216,173141827
2021,1,A,골목상권,2110041,남산케이블카,4221702,8,3463387586,864239876,452290931,284344728,448317513,627462772,175851830,103615674,355312941,151951321
2021,1,A,골목상권,2110042,남산골공원옆,3009396,7,2165308289,527744426,280910440,172245847,261774381,353073762,92513359,72816384,303886028,100343662
2021,1,A,골목상권,2110043,충무초등학교,3343709,7,3900115499,895436756,519409038,291787284,462054831,579071358,162516457,138804916,660085409,190949450
2021,1,A,골목상권,2110044,관성묘,2663428,6,2484031749,573685035,336730378,173645176,298405265,338865036,95927144,93911275,445342387,127520053
2021,1,A,골목상권,2110045,동대문역사문화공원역 5번,2736458,6,2289281149,575512392,288954544,176241443,285533315,359901551,92431823,75528078,332977497,102200506
2021,1,A,골목상권,2110046,버티고개,2729642,6,7205100532,1803998665,891475464,563214791,905258780,1250073943,302655658,216851787,965629971,305941473
2021,1,A,골목상권,2110047,다산성곽길,2694161,6,7017745215,1759313871,871121231,555791938,875298544,1210616832,294143300,214003955,937548884,299906660
2021,1,A,골목상권,2110048,장충동주민센터,2641492,6,6199148431,1632881746,767451981,487051737,791935753,1006358066,242843230,199878461,800183496,270563961
2021,1,A,골목상권,2110049,장충단 고개,2945494,6,6290808728,1531456321,785365497,503320198,756553224,1089881803,269914954,191399672,894123085,268793974
2021,1,A,골목상권,2110050,약수역 7번,2837218,6,9746896555,2433818816,1203007555,748611928,1229774766,1711923661,396330133,290989637,1314226382,418213677
2021,1,A,골목상권,2110051,한양공고앞 교차로,2460312,6,4291548261,1205233640,522203469,339544048,575614967,673317988,158666060,141391855,490010479,185565755
2021,1,A,골목상권,2110052,장충초등학교,3103589,7,7453734531,1856873712,926213148,587824530,909064509,1268198068,309666537,229238715,1047782560,318872752
2021,1,A,골목상권,2110053,청구역 1번,2961404,6,6675752492,1773546574,817572324,514930731,866449793,1085000179,262339673,208731833,862848375,284333010
2021,1,A,골목상권,2110054,청구역 3번,3417695,7,9150931965,2294246278,1122930813,694716613,1133675680,1560950668,358882937,276470737,1317792325,391265914
2021,1,A,골목상권,2110055,황학동벼룩시장,3354840,7,5277506777,1311890178,655679628,427536409,656056693,882177736,239160002,161101714,722819960,221084457
2021,1,A,골목상권,2110056,신당역 3번,3703608,7,12611377842,3311497382,1533502365,941254878,1627730359,2085660733,485072264,381024065,1706976866,538658930
2021,1,A,골목상권,2110057,황학코아루아파트,3931844,8,4655324515,1246326880,574451158,379823080,601079777,765172961,189107180,149905281,547647789,201810409
2021,1,A,골목상권,2110058,성심여자고등학교,3601711,7,9593510592,2426034559,1152264143,699865209,1210202070,1629089068,354809030,280652798,1435195138,405398577
2021,1,A,골목상권,2110059,새남터성지,3700289,7,4805969749,1197678388,589765869,362583167,627334718,868874959,181561740,139021931,627678488,211470489
2021,1,A,골목상권,2110060,효창공원앞역 6번,3669184,7,9889318335,2554627165,1185859871,718704748,1262442281,1664280915,356361027,295026786,1432099136,419916406
2021,1,A,골목상권,2110061,효창동주민센터,4121161,8,10518312709,2636545227,1275864204,774506401,1313330723,1803216982,398911537,311555573,1558747985,445634077
2021,1,A,골목상권,2110062,한강로동땡땡거리(은행나무길),4241991,8,3939062148,1022829561,479122097,301052198,522528976,681030876,147917492,118730385,495212052,170638511
2021,1,A,골목상권,2110063,효창공원앞역 5번,3840219,8,7720763653,1941309918,935614519,595373470,952467605,1304378889,298070487,235362052,1133332951,324853762
2021,1,A,골목상권,2110064,효창공원앞역 2번,3123175,7,7610774534,1902420395,950655251,558357005,940822701,1210938287,294056658,245172069,1172966612,335385556
2021,1,A,골목상권,2110065,남정초등학교,4055538,8,3942882312,991815999,480586648,308140973,485659959,662976322,154013597,120953140,571597190,167138484
2021,1,A,골목상권,2110066,서울역 15번,3529200,7,7234168742,2025095206,863092992,535931650,970096050,1104667400,261696219,231353123,944039889,298196213
2021,1,A,골목상권,2110067,배문고등학교,2557806,6,11736534366,3168967368,1438760443,865496842,1527807055,1779132247,427026218,386447436,1633413256,509483501
2021,1,A,골목상권,2110068,남영역 1번,3991672,8,9198502221,2297365374,1145078429,704211641,1121876617,1478480989,361762992,297730321,1389095565,402900293
2021,1,A,골목상권,2110069,숙대입구,2735763,6,8806282100,2250526246,1114416010,657887267,1095916720,1355078602,338220808,296884006,1298080230,399272211
2021,1,A,골목상권,2110070,용산세무서,6049604,9,4013987271,914935065,510945066,320641191,478613077,747000963,192196797,113721050,563831879,172102183
2021,1,A,골목상권,2110071,한강미주맨션아파트,6060282,9,6619284542,1493393828,824269033,494285153,785126517,1219435107,291179420,183236939,1050485801,277872744
2021,1,A,골목상권,2110072,열정도,4779252,8,4869878844,1170217314,592393176,389644366,569009020,834221701,197772791,148057688,765566240,202996548
2021,1,A,골목상권,2110073,삼각지역 3번,4077480,8,2371811351,605682762,293116336,197113953,298838188,408413981,95751582,75329210,294219831,103345508
2021,1,A,골목상권,2110074,서울역 12번,3194816,7,8377937356,2141139807,1037117005,654780080,1059467939,1419198205,345460002,256993547,1104283589,359497182
2021,1,A,골목상권,2110075,숙대입구역 1번,2838198,6,6582083177,1719212374,813695312,513159383,842426354,1083775252,258147923,209364615,855651441,286650523
2021,1,A,골목상권,2110076,삼각지역 14번,4702580,8,1642959220,418918871,202102754,135065218,212438179,284324226,68093516,50461171,201133138,70422147
2021,1,A,골목상권,2110077,삼광초등학교,3033623,7,7440767906,1853864289,914270281,570190897,916893061,1268469667,296838621,225528864,1077415618,317296608
2021,1,A,골목상권,2110078,이촌동점보아파트,5868490,9,6620475543,1497855367,821255180,492591538,787328975,1226778171,278265048,182559530,1049781347,284060387
2021,1,A,골목상권,2110079,후암동주민센터,2993720,7,11857113980,3011016685,1456751535,896880481,1487624346,1992879154,479078197,358651433,1672962594,501269555
2021,1,A,골목상권,2110080,해방촌예술마을,2776310,6,7538464172,1973137202,910955517,556949827,959715182,1233055208,278291252,232461848,1076423022,317475114
2021,1,A,골목상권,2110081,해방촌 남동측,2822570,6,7061047302,1893878386,848538759,527449878,910754412,1147009585,249629263,222935563,961324759,299526697
2021,1,A,골목상권,2110082,용산구청,2740166,6,3257478237,829149588,406361975,267102867,399279722,552725418,132638855,105052613,422903157,142264042
2021,1,A,골목상권,2110083,서빙고역 1번,4579891,8,3463786675,857129740,428399080,268767249,442909239,602242708,148582453,101323051,468500611,145932544
2021,1,A,골목상권,2110084,경리단길북측,3080262,7,8058521331,2055662906,979628569,621476242,1000391618,1362800596,306707892,250372217,1139251444,342229847
2021,1,A,골목상권,2110085,경리단길남측,3189986,7,7403591198,1834315763,914962920,588415811,900528490,1276215126,308408312,227973530,1038632808,314138438
2021,1,A,골목상권,2110086,이태원역 북측,3288606,7,7419142691,1823644520,927155941,601787294,894967288,1289476974,323259546,229575727,1013014626,316260775
2021,1,A,골목상권,2110087,이태원엔틱가구거리,3136534,7,5242717180,1372273465,652133275,423906183,672198543,887105829,202155510,169753340,629150745,234040290
2021,1,A,골목상권,2110088,오산고등학교,3127230,7,7529357179,1921476738,927541978,584493261,976650297,1289887595,301464253,227702346,976327128,323813583
2021,1,A,골목상권,2110089,서빙고동주민센터,2864569,6,4605762694,1160905454,558627802,351416989,587307263,780180997,180468241,136790105,657622249,192443594
2021,1,A,골목상권,2110090,한국폴리텍대학서울정수캠퍼스,3012209,7,6887995480,1819634437,851627745,539258809,914088501,1172676603,262283883,215782543,807137975,305504984
2021,1,A,골목상권,2110091,리움미술관,3897069,8,3340006501,802726523,426991734,281410566,396551885,595157555,159325890,102915540,430802718,144124090
2021,1,A,골목상권,2110092,NH농협은행 보광동지점,2795385,6,9520235986,2578337469,1173008406,755528394,1268367108,1589256105,351783911,307930939,1071623996,424399658
2021,1,A,골목상권,2110093,우사단길,2936926,6,12044731992,3152515687,1500400696,982888257,1538280307,2039330904,486033535,388184187,1426800582,530297837
2021,1,A,골목상권,2110094,오산중학교,2759384,6,3323704526,878515609,410064697,259943331,441676739,571913769,124337835,103360435,385721927,148170184
2021,1,A,골목상권,2110095,한강진역 3번,4328830,8,6759122826,1601348616,854396029,571246238,791181023,1206307161,316916416,207789746,923039702,286897895
2021,1,A,골목상권,2110096,한남힐사이드아파트,4159662,8,1714442223,399616017,216968108,145621661,201218003,311835586,82010903,51698059,232894253,72579633
2021,1,A,골목상권,2110097,한남초등학교,5615888,9,2753625705,630319818,349578799,230013780,314077748,503598499,133470838,82981089,394267233,115317901
2021,1,A,골목상권,2110098,서울독일학교,5740478,9,4406054274,1016544781,576822338,363556221,518842452,817369879,233841357,129252748,561234258,188590240
2021,1,A,골목상권,2110099,유엔빌리지길,4888041,8,6747056092,1575778932,869909238,556752914,809676500,1238842019,341467363,197702809,868837575,288088742
2021,1,A,골목상권,2110100,옥수동우편취급국,4680953,8,4481794201,1116367354,549799920,335904401,566617394,784237634,182019839,131107722,624639700,191100237
2021,1,A,골목상권,2110101,옥정중학교,4905024,9,5986619914,1484919735,734023994,449956470,761030877,1056632328,239845822,174419251,829253318,256538119
2021,1,A,골목상권,2110102,옥수역 6번,4606168,8,8879830334,2143737505,1068362104,643035686,1091951952,1582417641,322769481,256092867,1395797669,375665429
2021,1,A,골목상권,2110103,옥수터널,4505036,8,6240274089,1537456597,746779564,445610556,769640419,1087816357,224564324,182169431,986538824,259698017
2021,1,A,골목상권,2110104,신금호역 4번,3920314,8,9571877649,2518525470,1145125524,685122247,1237015813,1587896950,338331253,288328090,1366695617,404836685
2021,1,A,골목상권,2110105,금동어린이공원,3312925,7,11282772623,3025404009,1338975184,805870763,1486193107,1836343614,395607029,340810471,1583225791,470342655
2021,1,A,골목상권,2110106,금북초등학교,4202818,8,5063647510,1421596877,587206983,343490346,696141772,772068711,165914284,150761298,716883854,209583385
2021,1,A,골목상권,2110107,금호사거리,3532061,7,6274821108,1655215937,744181953,449734939,816456438,1032433618,223451731,188425065,904737182,260184245
2021,1,A,골목상권,2110108,성동구립금호도서관,4399961,8,7545703637,1987951538,884996174,516574424,977632354,1227969569,258094668,221232494,1159390854,311861562
2021,1,A,골목상권,2110109,금호삼성래미안아파트,3903479,8,7967497552,2052684798,951307491,559634543,1006139469,1329800851,283717405,234591352,1214424712,335196931
2021,1,A,골목상권,2110110,상왕십리역 6번,3617694,7,6005806940,1722277798,715619076,444203599,825890287,910419006,215627551,192175134,729378203,250216286
2021,1,A,골목상권,2110111,대현산장미원,3193403,7,6761388986,1760342265,801525420,460098448,865815035,1120146615,226966931,195489628,1043926008,287078636
2021,1,A,골목상권,2110112,행당역 2번,3649431,7,8270149516,2258104057,980508324,583846561,1108183690,1315304885,276419355,252965522,1143286154,351530968
2021,1,A,골목상권,2110113,응봉산,3752697,8,4509158562,1176701391,534795480,311655211,585701832,748012112,152223865,129561227,678105788,192401656
2021,1,A,골목상권,2110114,왕십리파출소,2836610,6,5284757356,1412962997,642247088,401183631,708013634,883211395,197655603,161854422,649796360,227832226
2021,1,A,골목상권,2110115,상왕십리역 3번,2643847,6,6271184253,1712594826,760979831,479132864,845864002,1020393177,237728874,196248683,750993754,267248242
2021,1,A,골목상권,2110116,청계천박물관,2808858,6,7210269255,1983696202,866577009,534630427,975873427,1157803403,263712800,221360241,901018261,305597485
2021,1,A,골목상권,2110117,성동구보건소,2943244,6,5215028502,1460251201,627992598,391615975,709419003,818749030,193304340,164425085,629173722,220097548
2021,1,A,골목상권,2110118,왕십리역 9번,4259690,8,5600078680,1499859564,675631002,404474118,732979056,889784916,190155638,177923023,783537188,245734175
2021,1,A,골목상권,2110119,마장지하차도,3006090,7,3814316552,1064351515,460023782,281061875,512015082,599870146,139561791,119325633,476403052,161703676
2021,1,A,골목상권,2110120,서울숲카페거리,3920419,8,2179947651,574624681,269938045,168253401,270546102,350889177,89203624,69212906,294153682,93126033
2021,1,A,골목상권,2110121,한양대역 4번,4533881,8,739547484,178386828,106661255,44155283,95678497,64809418,25581796,33820733,147165570,43288104
2021,1,A,골목상권,2110122,마장역 2번,3302364,7,5179781086,1434712032,627439747,379670242,693186476,819545318,190353424,160846641,652621798,221405408
2021,1,A,골목상권,2110123,마장역 3번,2987836,7,7491072524,2134186446,917755521,558293051,1027633575,1100163157,263879460,255456232,903387241,330317841
2021,1,A,골목상권,2110124,뚝섬역교차로,3184161,7,4832439315,1317944078,579843467,357404760,617748274,757812441,169530868,153681291,672240826,206233310
2021,1,A,골목상권,2110125,사근동살곶이상점가,2772802,6,4513436886,1208882551,594613239,310336046,599702547,543646736,151429905,180333243,696761231,227731388
2021,1,A,골목상권,2110126,서울숲역 1번,3756483,8,2763269941,709424903,336397215,205130128,343549013,458096625,106125863,83555017,403715407,117275770
2021,1,A,골목상권,2110127,성수1가1동주민센터,3477190,7,4589994346,1184195410,552325414,335700106,570918169,755554338,165821573,139868940,690977488,194632908
2021,1,A,골목상권,2110128,성원중학교,3527254,7,10590027458,2766878088,1278419856,776989408,1346850730,1753925519,378465710,322820424,1510395624,455282099
2021,1,A,골목상권,2110129,성원어린이공원,3277785,7,5220287169,1335028795,639622646,392727325,639497969,857856967,209602450,158213367,766409167,221328483
2021,1,A,골목상권,2110130,답십리역 6번,2646772,6,7046759665,1957613689,823917708,546346138,954702751,1056886610,271780436,220404534,940152856,274954943
2021,1,A,골목상권,2110131,성수동카페거리,3093735,7,5611398334,1429882613,683752454,428644477,692613074,925751152,222607773,171163760,821781131,235201900
2021,1,A,골목상권,2110132,성수2가3동주민센터,3502630,7,4344023724,1105834170,541540369,341860715,548285360,748526326,177029634,132722994,557141495,191082661
2021,1,A,골목상권,2110133,서울교통공사,2546463,6,5140167060,1403505018,605432057,399973396,686268456,789497638,201329507,159506370,691492057,203162561
2021,1,A,골목상권,2110134,성수119안전센터,2675711,6,7905333321,2185542900,960239607,594270296,1064490878,1262966543,290076374,250239137,957173657,340333929
2021,1,A,골목상권,2110135,성동세무서,2948725,6,5199305664,1392588793,643046716,408251736,676986999,815246968,204635586,171447842,660677086,226423938
2021,1,A,골목상권,2110136,경수초등학교,2524652,6,9382923073,2579768684,1155921257,741888822,1219903564,1459330079,364789185,313887452,1142541893,404892137
2021,1,A,골목상권,2110137,성수초등학교,2944729,6,9957790979,2586659765,1263996771,782592920,1249257764,1530281467,391376792,342354420,1355213085,456057995
2021,1,A,골목상권,2110138,송정체육공원,2529586,6,6439669979,1831707831,783149230,505899217,862457440,944661760,237687666,222595806,775734031,275776998
2021,1,A,골목상권,2110139,자양4동주민센터,3534794,7,9530452738,2625718414,1153946679,708780326,1266219037,1507557442,346386977,302105561,1210679696,409058606
2021,1,A,골목상권,2110140,건대입구역 6번,3098122,7,13278209837,3556349065,1652303120,998690673,1702521167,2023283554,489229102,448224088,1811748512,595860556
2021,1,A,골목상권,2110141,건대입구역 1번,2470462,6,7155384774,1727126813,973326473,502193951,865914438,904563651,270947304,282877494,1257478458,370956192
2021,1,A,골목상권,2110142,화양사거리,2549180,6,9582793971,2328674759,1297924432,700626494,1153476388,1238118933,366181967,378519373,1625569968,493701657
2021,1,A,골목상권,2110143,뚝섬유원지역 1번,4346285,8,6232381777,1564621608,756029988,442040298,768208189,1053609681,227695573,180655863,970182544,269338033
2021,1,A,골목상권,2110144,어린이대공원역 4번,2625755,6,8335203332,1909860894,1140267525,671022587,920439061,1167155996,347043128,326743892,1422344537,430325712
2021,1,A,골목상권,2110145,장안초등학교,2823188,6,3802667074,947296840,493530822,307444213,448605893,561627873,149163844,138675964,574426852,181894773
2021,1,A,골목상권,2110146,신자초등학교,3761573,8,9707541356,2443484841,1175113092,684675361,1192254251,1627692446,351675806,283828352,1532541288,416275919
2021,1,A,골목상권,2110147,능동우편취급국,2563295,6,9038924562,2544797473,1093551781,689137274,1195804755,1392111705,311618185,304713198,1116639856,390550335
2021,1,A,골목상권,2110148,어린이대공원역 3번,2500224,6,5591327142,1234344116,779276287,435718034,617393082,733297180,236725085,225556972,1032255461,296760925
2021,1,A,골목상권,2110149,세종대학교,2703249,6,3966975448,1067609413,491379373,299611373,507094436,614087029,140995852,135967660,533465934,176764378
2021,1,A,골목상권,2110150,중곡1동 마을마당,2536685,6,7433667826,2090535036,898731155,566130895,993267854,1185993122,259431593,244740984,873569350,321267837
2021,1,A,골목상권,2110151,자양한강도서관,2858989,6,10231575811,2739759564,1226005469,725945397,1313421123,1650107090,349446750,316482924,1476488460,433919034
2021,1,A,골목상권,2110152,중곡어린이공원,2428342,5,4934501957,1440899351,587953737,364417061,689699047,757309085,168003085,161976086,556502343,207742162
2021,1,A,골목상권,2110153,중곡1동주민센터,2542034,6,8054079897,2222195065,974365119,609331641,1060160465,1302736900,281422090,262095925,993781069,347991623
2021,1,A,골목상권,2110154,광진정말공원,2833196,6,14286173782,3871356548,1710807454,1027590902,1839649531,2285446718,482618322,450353607,2011789332,606561368
2021,1,A,골목상권,2110155,광진구청,2994396,7,9544533797,2444608404,1182398622,782194311,1142798136,1579522863,381256475,311618504,1305248161,414888321
2021,1,A,골목상권,2110156,군자역 5번,2743746,6,7994323513,2071226208,982604546,614646687,979679375,1297661230,293940276,265398711,1142191297,346975183
2021,1,A,골목상권,2110157,자양동우체국,2782559,6,11409149507,3000529428,1380413781,825590949,1455100378,1879928160,412777358,349630074,1621189368,483990011
