기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수
2021,1,A,골목상권,2110001,이북5도청사,5553,2646,2907,904,769,596,839,998,1447,471,390,292,369,451,673,433,379,304,470,547,774,2124,0,2124
2021,1,A,골목상권,2110002,독립문역 1번,8636,4057,4579,1692,1004,906,1493,1460,2081,786,498,407,701,765,900,906,506,499,792,695,1181,3264,0,3264
2021,1,A,골목상권,2110003,세검정초등학교,10939,5183,5756,1833,1488,1269,1708,1906,2735,919,749,600,788,867,1260,914,739,669,920,1039,1475,4374,0,4374
2021,1,A,골목상권,2110004,대신고등학교,13371,6201,7170,2170,1633,1757,2204,2261,3346,1031,784,828,1055,1110,1393,1139,849,929,1149,1151,1953,5818,0,5818
2021,1,A,골목상권,2110005,세검정,8964,4243,4721,1363,1268,1088,1435,1546,2264,691,636,512,664,717,1023,672,632,576,771,829,1241,3875,0,3875
2021,1,A,골목상권,2110006,부암동주민센터,3593,1727,1866,496,442,433,581,623,1018,279,238,201,263,295,451,217,204,232,318,328,567,1601,0,1601
2021,1,A,골목상권,2110007,사직공원(한국사회과학도서관),15844,7228,8616,2528,2013,2249,2666,2612,3776,1175,954,1053,1223,1221,1602,1353,1059,1196,1443,1391,2174,6968,0,6968
2021,1,A,골목상권,2110008,배화여자대학교(박노수미술관),12631,5747,6884,1907,1580,1790,2156,1986,3212,925,755,832,984,901,1350,982,825,958,1172,1085,1862,5762,0,5762
2021,1,A,골목상권,2110009,자하문터널,5311,2538,2773,728,693,666,864,954,1406,399,368,320,390,430,631,329,325,346,474,524,775,2356,0,2356
2021,1,A,골목상권,2110010,평창동서측,10578,4915,5663,1681,1328,1333,1682,1805,2749,859,651,602,757,817,1229,822,677,731,925,988,1520,4369,0,4369
2021,1,A,골목상권,2110011,청운초등학교,1987,988,999,399,268,202,361,349,408,234,159,84,161,167,183,165,109,118,200,182,225,746,0,746
2021,1,A,골목상권,2110012,성곡미술관,10103,4513,5590,1330,1324,1517,1585,1667,2680,632,607,663,700,746,1165,698,717,854,885,921,1515,4998,0,4998
2021,1,A,골목상권,2110013,체부동홍종문가옥,5684,2561,3123,698,711,801,902,913,1659,333,362,363,416,415,672,365,349,438,486,498,987,2956,0,2956
2021,1,A,골목상권,2110014,경복고등학교,4207,1998,2209,753,571,545,754,671,913,417,309,229,335,314,394,336,262,316,419,357,519,1764,0,1764
2021,1,A,골목상권,2110015,청와대사랑채,4282,1969,2313,626,539,553,741,727,1096,335,270,231,332,337,464,291,269,322,409,390,632,1969,0,1969
2021,1,A,골목상권,2110016,평창동동측,7118,3312,3806,987,984,878,1066,1299,1904,498,511,404,471,587,841,489,473,474,595,712,1063,2952,0,2952
2021,1,A,골목상권,2110017,정독도서관,4426,2073,2353,525,467,576,721,702,1435,282,225,273,350,329,614,243,242,303,371,373,821,2179,0,2179
2021,1,A,골목상권,2110018,중앙고등학교,5504,2603,2901,691,639,735,963,863,1613,373,308,344,469,409,700,318,331,391,494,454,913,2671,0,2671
2021,1,A,골목상권,2110019,창덕궁,2753,1885,868,104,280,295,386,572,1116,54,164,190,264,454,759,50,116,105,122,118,357,2182,0,2182
2021,1,A,골목상권,2110020,서울국제고등학교,13188,6414,6774,1662,3243,1576,1850,1839,3018,808,1647,865,895,888,1311,854,1596,711,955,951,1707,7001,0,7001
2021,1,A,골목상권,2110021,성균관대학교,9344,4395,4949,1005,2953,1148,1157,1228,1853,492,1384,598,540,580,801,513,1569,550,617,648,1052,5563,0,5563
2021,1,A,골목상권,2110022,경신고등학교,14535,6798,7737,1917,3176,1860,2222,2197,3163,975,1533,903,1029,1011,1347,942,1643,957,1193,1186,1816,7439,0,7439
2021,1,A,골목상권,2110023,서울대병원,2681,1235,1446,193,774,483,298,289,644,91,335,239,150,143,277,102,439,244,148,146,367,1824,0,1824
2021,1,A,골목상권,2110024,혜회동주민센터,10341,4773,5568,1363,2375,1347,1549,1491,2216,684,1093,639,722,688,947,679,1282,708,827,803,1269,5447,0,5447
2021,1,A,골목상권,2110025,충신시장옆,5818,2974,2844,435,1187,803,680,1059,1654,226,584,436,364,562,802,209,603,367,316,497,852,3621,0,3621
2021,1,A,골목상권,2110026,종로5가역 4번,2877,1567,1310,229,422,314,355,592,965,125,228,184,206,324,500,104,194,130,149,268,465,1760,0,1760
2021,1,A,골목상권,2110027,혜화역 1번,8387,4065,4322,733,1598,1221,1153,1405,2277,361,755,620,610,705,1014,372,843,601,543,700,1263,4626,0,4626
2021,1,A,골목상권,2110028,이화달팽이길,14485,7356,7129,1252,2446,1818,1847,2884,4238,643,1244,998,984,1516,1971,609,1202,820,863,1368,2267,7872,0,7872
2021,1,A,골목상권,2110029,동대문역 1번,23207,11931,11276,2218,3292,2757,3076,4811,7053,1148,1754,1533,1596,2566,3334,1070,1538,1224,1480,2245,3719,11795,0,11795
2021,1,A,골목상권,2110030,동대문역 3번,9068,4777,4291,722,1167,1034,1187,1908,3050,378,617,597,606,1066,1513,344,550,437,581,842,1537,5044,0,5044
2021,1,A,골목상권,2110031,창신역 1번,13540,6600,6940,2011,1819,1955,2112,2415,3228,1008,983,962,1024,1163,1460,1003,836,993,1088,1252,1768,5620,0,5620
2021,1,A,골목상권,2110032,수족관거리,2434,1377,1057,74,404,336,274,424,922,35,171,196,161,262,552,39,233,140,113,162,370,1950,0,1950
2021,1,A,골목상권,2110033,창신역 4번,17299,8548,8751,1996,2406,2536,2607,3281,4473,1015,1254,1321,1320,1624,2014,981,1152,1215,1287,1657,2459,8133,0,8133
2021,1,A,골목상권,2110034,창신1동주민센터,6863,3369,3494,635,1056,1411,1012,998,1751,312,469,732,515,506,835,323,587,679,497,492,916,3990,0,3990
2021,1,A,골목상권,2110035,동묘앞역 2번,17833,8893,8940,1455,3252,2795,2496,3243,4592,723,1444,1503,1335,1673,2215,732,1808,1292,1161,1570,2377,10118,0,10118
2021,1,A,골목상권,2110036,동묘앞역 3번,12202,5955,6247,1073,2444,2361,1746,1795,2783,535,953,1211,924,966,1366,538,1491,1150,822,829,1417,7342,0,7342
2021,1,A,골목상권,2110037,신설동역 12번,13167,6672,6495,1165,2088,2117,1884,2441,3472,595,1021,1130,1015,1244,1667,570,1067,987,869,1197,1805,7185,0,7185
2021,1,A,골목상권,2110038,경향신문사,2138,1034,1104,471,197,390,441,300,339,239,95,164,226,157,153,232,102,226,215,143,186,816,0,816
2021,1,A,골목상권,2110039,회현역 1번,4863,2317,2546,457,547,584,664,792,1819,229,238,261,342,386,861,228,309,323,322,406,958,2567,0,2567
2021,1,A,골목상권,2110040,중구회현체육센터(정화예술대남산캠퍼스),5517,2631,2886,570,631,682,753,877,2004,285,280,315,388,425,938,285,351,367,365,452,1066,2932,0,2932
2021,1,A,골목상권,2110041,남산케이블카,4163,1979,2184,457,508,562,593,675,1368,238,237,274,303,319,608,219,271,288,290,356,760,2201,0,2201
2021,1,A,골목상권,2110042,남산골공원옆,3647,1856,1791,335,791,543,414,526,1038,176,418,292,225,290,455,159,373,251,189,236,583,2181,0,2181
2021,1,A,골목상권,2110043,충무초등학교,6270,3239,3031,519,1748,1033,709,847,1414,270,870,575,386,475,663,249,878,458,323,372,751,4001,0,4001
2021,1,A,골목상권,2110044,관성묘,4573,2373,2200,377,1196,618,509,613,1260,196,639,345,278,343,572,181,557,273,231,270,688,2963,0,2963
2021,1,A,골목상권,2110045,동대문역사문화공원역 5번,4658,2384,2274,349,848,704,582,704,1471,179,409,370,324,386,716,170,439,334,258,318,755,2903,0,2903
2021,1,A,골목상권,2110046,버티고개,11666,5596,6070,1193,1708,1811,1716,1859,3379,631,863,902,853,882,1465,562,845,909,863,977,1914,5627,0,5627
2021,1,A,골목상권,2110047,다산성곽길,11511,5525,5986,1133,1956,1713,1669,1812,3228,606,972,876,811,867,1393,527,984,837,858,945,1835,5790,0,5790
2021,1,A,골목상권,2110048,장충동주민센터,11995,5944,6051,1080,2039,1793,1593,2047,3443,561,1001,946,832,1035,1569,519,1038,847,761,1012,1874,6598,0,6598
2021,1,A,골목상권,2110049,장충단 고개,9447,4520,4927,994,1717,1535,1312,1479,2410,509,814,772,640,721,1064,485,903,763,672,758,1346,4891,0,4891
2021,1,A,골목상권,2110050,약수역 7번,21552,10203,11349,2553,2718,3476,3174,3427,6204,1307,1359,1663,1592,1639,2643,1246,1359,1813,1582,1788,3561,10036,0,10036
2021,1,A,골목상권,2110051,한양공고앞 교차로,8660,4367,4293,703,1427,1336,1157,1583,2454,350,710,714,629,822,1142,353,717,622,528,761,1312,4874,0,4874
2021,1,A,골목상권,2110052,장충초등학교,12355,6041,6314,1255,2182,1991,1726,2025,3176,648,1049,1027,891,990,1436,607,1133,964,835,1035,1740,6488,0,6488
2021,1,A,골목상권,2110053,청구역 1번,12649,6373,6276,1265,1890,1809,1771,2302,3612,627,963,944,956,1202,1681,638,927,865,815,1100,1931,6659,0,6659
2021,1,A,골목상권,2110054,청구역 3번,15123,7275,7848,1710,2515,2384,2142,2499,3873,865,1199,1225,1053,1221,1712,845,1316,1159,1089,1278,2161,7238,0,7238
2021,1,A,골목상권,2110055,황학동벼룩시장,8628,4201,4427,835,1333,1785,1190,1288,2197,411,606,918,587,652,1027,424,727,867,603,636,1170,4784,0,4784
2021,1,A,골목상권,2110056,신당역 3번,32331,15449,16882,3999,4912,5379,4703,5513,7825,2044,2223,2576,2347,2768,3491,1955,2689,2803,2356,2745,4334,15327,0,15327
2021,1,A,골목상권,2110057,황학코아루아파트,15156,7160,7996,1456,2745,3113,2105,2356,3381,741,1121,1480,1078,1237,1503,715,1624,1633,1027,1119,1878,8574,0,8574
2021,1,A,골목상권,2110058,성심여자고등학교,20230,9613,10617,3098,2740,2979,3350,3347,4716,1440,1302,1505,1638,1670,2058,1658,1438,1474,1712,1677,2658,8622,0,8622
2021,1,A,골목상권,2110059,새남터성지,8383,3938,4445,1082,911,1371,1252,1348,2419,544,447,692,617,628,1010,538,464,679,635,720,1409,3686,0,3686
2021,1,A,골목상권,2110060,효창공원앞역 6번,23154,11067,12087,3300,3372,3996,3560,3624,5302,1653,1606,1996,1754,1769,2289,1647,1766,2000,1806,1855,3013,10108,0,10108
2021,1,A,골목상권,2110061,효창동주민센터,21836,10294,11542,3169,3415,3836,3288,3498,4630,1641,1536,1832,1595,1689,2001,1528,1879,2004,1693,1809,2629,9469,0,9469
2021,1,A,골목상권,2110062,한강로동땡땡거리(은행나무길),11684,5612,6072,1348,1687,2344,1707,1938,2660,699,782,1164,835,923,1209,649,905,1180,872,1015,1451,5607,0,5607
2021,1,A,골목상권,2110063,효창공원앞역 5번,16687,8071,8616,2095,2663,3509,2499,2351,3570,1068,1195,1747,1308,1175,1578,1027,1468,1762,1191,1176,1992,8380,0,8380
2021,1,A,골목상권,2110064,효창공원앞역 2번,17449,7899,9550,1992,3399,3364,2452,2420,3822,975,1320,1693,1203,1147,1561,1017,2079,1671,1249,1273,2261,8897,0,8897
2021,1,A,골목상권,2110065,남정초등학교,8360,4104,4256,1080,1299,1802,1242,1156,1781,558,581,895,678,592,800,522,718,907,564,564,981,4264,0,4264
2021,1,A,골목상권,2110066,서울역 15번,13136,6557,6579,1453,2166,2061,2007,2362,3087,756,1075,1118,1039,1194,1375,697,1091,943,968,1168,1712,6816,0,6816
2021,1,A,골목상권,2110067,배문고등학교,21025,10232,10793,1970,3995,3079,3025,3635,5321,1030,1746,1697,1542,1865,2352,940,2249,1382,1483,1770,2969,11484,0,11484
2021,1,A,골목상권,2110068,남영역 1번,19855,9270,10585,2382,3871,4217,3010,2711,3664,1157,1492,2067,1534,1350,1670,1225,2379,2150,1476,1361,1994,10573,0,10573
2021,1,A,골목상권,2110069,숙대입구,16731,7722,9009,1505,3823,2765,2320,2474,3844,775,1403,1445,1169,1246,1684,730,2420,1320,1151,1228,2160,9556,0,9556
2021,1,A,골목상권,2110070,용산세무서,8891,4176,4715,1507,1149,1391,1338,1637,1869,747,537,630,603,773,886,760,612,761,735,864,983,3473,0,3473
2021,1,A,골목상권,2110071,한강미주맨션아파트,12536,5791,6745,2444,1174,1714,2163,1973,3068,1235,575,741,990,963,1287,1209,599,973,1173,1010,1781,4885,0,4885
