기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2021,1,A,골목상권,2110001,이북5도청사,5968,4230,1738,11,1084,1435,1383,1526,529,7,566,935,1087,1267,368,4,518,500,296,259,161
2021,1,A,골목상권,2110002,독립문역 1번,689,209,480,7,173,203,166,102,38,6,37,46,59,37,24,1,136,157,107,65,14
2021,1,A,골목상권,2110003,세검정초등학교,4837,2723,2114,16,618,1311,1222,1017,653,7,239,684,764,595,434,9,379,627,458,422,219
2021,1,A,골목상권,2110004,대신고등학교,470,276,194,6,62,109,112,113,68,5,33,63,61,59,55,1,29,46,51,54,13
2021,1,A,골목상권,2110005,세검정,2723,1465,1258,9,347,715,720,623,309,3,150,361,399,341,211,6,197,354,321,282,98
2021,1,A,골목상권,2110006,부암동주민센터,2706,1329,1377,22,607,897,632,425,123,5,169,414,377,288,76,17,438,483,255,137,47
2021,1,A,골목상권,2110007,사직공원(한국사회과학도서관),3909,1854,2055,7,607,1085,1147,738,325,5,194,468,547,412,228,2,413,617,600,326,97
2021,1,A,골목상권,2110008,배화여자대학교(박노수미술관),6438,3091,3347,46,996,1152,1240,1648,1356,2,446,594,631,700,718,44,550,558,609,948,638
2021,1,A,골목상권,2110009,자하문터널,3823,2257,1566,18,744,1226,968,640,227,8,294,697,639,463,156,10,450,529,329,177,71
2021,1,A,골목상권,2110010,평창동서측,10085,5515,4570,17,1111,2723,3664,1991,579,1,478,1204,2080,1353,399,16,633,1519,1584,638,180
2021,1,A,골목상권,2110011,청운초등학교,1903,814,1089,13,319,483,443,349,296,2,65,197,199,163,188,11,254,286,244,186,108
2021,1,A,골목상권,2110012,성곡미술관,35398,22897,12501,54,4673,9851,10005,7082,3733,14,2168,6479,7283,4722,2231,40,2505,3372,2722,2360,1502
2021,1,A,골목상권,2110013,체부동홍종문가옥,4511,2162,2349,10,616,877,891,1177,940,2,339,523,470,400,428,8,277,354,421,777,512
2021,1,A,골목상권,2110014,경복고등학교,6312,4486,1826,39,965,1807,2046,1188,267,2,591,1278,1554,867,194,37,374,529,492,321,73
2021,1,A,골목상권,2110015,청와대사랑채,6739,4876,1863,37,1083,2014,2132,1170,303,0,655,1432,1686,873,230,37,428,582,446,297,73
2021,1,A,골목상권,2110016,평창동동측,13795,6588,7207,21,1223,3779,5325,2832,615,10,508,1634,2776,1313,347,11,715,2145,2549,1519,268
2021,1,A,골목상권,2110017,정독도서관,10619,8299,2320,2,1386,2982,3397,2250,602,1,919,2227,2808,1858,486,1,467,755,589,392,116
2021,1,A,골목상권,2110018,중앙고등학교,16741,12521,4220,12,1870,5599,5144,3145,971,6,988,4073,4101,2594,759,6,882,1526,1043,551,212
2021,1,A,골목상권,2110019,창덕궁,16561,12644,3917,19,2000,5478,4941,3044,1079,7,1164,4119,3999,2516,839,12,836,1359,942,528,240
2021,1,A,골목상권,2110020,서울국제고등학교,4389,2090,2299,18,726,1142,1008,872,623,13,270,579,552,374,302,5,456,563,456,498,321
2021,1,A,골목상권,2110021,성균관대학교,2385,1261,1124,15,389,557,545,470,409,11,136,240,309,293,272,4,253,317,236,177,137
2021,1,A,골목상권,2110022,경신고등학교,6493,3007,3486,27,1025,1774,1632,1264,771,19,359,839,781,598,411,8,666,935,851,666,360
2021,1,A,골목상권,2110023,서울대병원,7046,4607,2439,14,1274,2467,1898,965,428,3,575,1567,1454,734,274,11,699,900,444,231,154
2021,1,A,골목상권,2110024,혜회동주민센터,5949,2844,3105,28,785,1351,1599,1359,827,17,260,582,786,715,484,11,525,769,813,644,343
2021,1,A,골목상권,2110025,충신시장옆,9964,6665,3299,17,1748,3097,2714,1736,652,3,767,1987,2027,1429,452,14,981,1110,687,307,200
2021,1,A,골목상권,2110026,종로5가역 4번,3517,2041,1476,9,541,863,909,740,455,2,244,478,511,470,336,7,297,385,398,270,119
2021,1,A,골목상권,2110027,혜화역 1번,3993,2014,1979,11,605,968,1059,834,516,5,166,385,563,521,374,6,439,583,496,313,142
2021,1,A,골목상권,2110028,이화달팽이길,4133,2258,1875,7,726,1068,988,821,523,3,249,525,580,528,373,4,477,543,408,293,150
2021,1,A,골목상권,2110029,동대문역 1번,3350,1894,1456,6,441,722,813,826,542,1,200,416,458,485,334,5,241,306,355,341,208
2021,1,A,골목상권,2110030,동대문역 3번,1437,615,822,0,146,262,447,335,247,0,43,97,144,155,176,0,103,165,303,180,71
2021,1,A,골목상권,2110031,창신역 1번,554,273,281,2,68,132,136,143,73,0,19,63,68,75,48,2,49,69,68,68,25
2021,1,A,골목상권,2110032,수족관거리,2064,916,1148,8,347,439,559,454,257,7,106,176,201,239,187,1,241,263,358,215,70
2021,1,A,골목상권,2110033,창신역 4번,2086,1235,851,4,175,269,339,403,896,0,57,132,185,230,631,4,118,137,154,173,265
2021,1,A,골목상권,2110034,창신1동주민센터,2610,1275,1335,10,415,553,683,590,359,8,137,246,296,337,251,2,278,307,387,253,108
2021,1,A,골목상권,2110035,동묘앞역 2번,4636,2328,2308,6,352,596,971,1056,1655,0,113,271,430,502,1012,6,239,325,541,554,643
2021,1,A,골목상권,2110036,동묘앞역 3번,3249,1861,1388,19,475,515,668,726,846,17,215,271,402,447,509,2,260,244,266,279,337
